priority_rank,content_id,client_id,priority_score,recommended_action,reason_codes,search_volume,impressions_90d,clicks_90d,trend_pct,days_since_last_update,word_count,content_age_days
6806,content_50dfd64f9e8e,client_19581e27de,0.8686175502325398,Refresh and review,"STALE, DECLINING, VISIBLE, MULTIPLE_SIGNALS",0.0,4446,0,-5.6,104,,330
6807,content_3bb7a236a7a8,client_19581e27de,0.868614127430802,Optimization review,"HIGH_DEMAND, VISIBLE, MULTIPLE_SIGNALS",14800.0,1750,0,191.1,22,,445
6808,content_429bcfe171c3,client_f369cb89fc,0.8685751097770735,Monitor,DECLINING,0.0,80,0,-16.7,20,3438.0,187
6809,content_3b6a4a9b18b8,client_19581e27de,0.8685585645414778,Investigate and refresh,"DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,71,0,-51.7,22,,480
6810,content_8a2690fe8413,client_3fdba35f04,0.868552153416874,Monitor,DECLINING,10.0,152,0,-92.9,19,2738.0,165
6811,content_8f7012855595,client_2c624232cd,0.8685417002451136,Monitor,DECLINING,0.0,113,0,-90.9,22,,517
6812,content_1e0d9b838815,client_19581e27de,0.8685403467483506,Monitor,DECLINING,10.0,122,0,-41.5,22,,441
6813,content_0aabae6c26ae,client_3fdba35f04,0.8684659583145794,Freshness review,STALE,10.0,38,0,50.0,104,1402.0,223
6814,content_1525fde2b132,client_2c624232cd,0.86845069977148,Monitor,REVIEW,0.0,125,0,13.6,22,,517
6815,content_4ccbce3b610c,client_e29c9c180c,0.8684162722236981,Monitor,REVIEW,10.0,1,0,,20,1374.0,320
6816,content_85a09b3e3147,client_8527a891e2,0.8683956105219995,Monitor,DECLINING,10.0,116,0,-100.0,92,1519.0,237
6817,content_48bd817367a8,client_a88a7902cb,0.8682992592540311,Monitor,DECLINING,0.0,216,0,-98.5,20,2480.0,180
6818,content_c14777a03767,client_f369cb89fc,0.8682729195001234,Monitor,HIGH_DEMAND,90.0,67,0,12.5,20,2890.0,151
6819,content_5cc971742df4,client_a88a7902cb,0.868272908513522,Monitor,DECLINING,10.0,68,0,-68.8,20,3042.0,119
6820,content_d2a3eff9a970,client_3fdba35f04,0.868260571661104,Refresh and review,"STALE, DECLINING, HIGH_DEMAND, MULTIPLE_SIGNALS",20.0,25,0,-100.0,104,1444.0,223
